test_id,hard_cap,burn_unit,reward,halving,epochs,initial_valuation,first_epoch_percent,bot_risk,fair_score,result,description
A25,1000000,1000000,20000,25,1,5000.000,2.0,LOW,7,PASS,"Halving 25%"
A35,1000000,1000000,20000,35,1,5000.000,2.0,LOW,7,PASS,"Halving 35%"
A50,1000000,1000000,20000,50,1,5000.000,2.0,LOW,7,PASS,"Halving 50%"
A70,1000000,1000000,20000,70,1,5000.000,2.0,LOW,7,PASS,"Halving 70%"
A90,1000000,1000000,20000,90,1,5000.000,2.0,LOW,7,PASS,"Halving 90%"
B100000,1000000,100000,20000,50,5,500.000,2.0,HIGH,7,PASS,"Burn 100000"
B500000,1000000,500000,20000,50,1,2500.000,2.0,MODERATE,6,WARN,"Burn 500000"
B1000000,1000000,1000000,20000,50,1,5000.000,2.0,LOW,7,PASS,"Burn 1000000"
B5000000,1000000,5000000,20000,50,1,25000.000,2.0,LOW,7,PASS,"Burn 5000000"
B10000000,1000000,10000000,20000,50,1,50000.000,2.0,LOW,7,PASS,"Burn 10000000"
E1,10000,100000,9000,50,1,500.000,90.0,HIGH,0,FAIL,"Bot scoops 90% for $500"
E2,100000,100000,50000,50,1,500.000,50.0,HIGH,1,FAIL,"Bot gets 50% for $500"
E3,1000000,100000,10000,50,11,500.000,1.0,HIGH,7,PASS,"More balanced but still low"
E4,50000,200000,25000,50,1,1000.000,50.0,MODERATE,3,FAIL,"50% in epoch 1 for $1k"
E5,100000,500000,30000,50,1,2500.000,30.0,MODERATE,5,WARN,"30% for $2.5k - borderline"
F1,1000000,1000000,1000,50,10,5000.000,.1,LOW,10,PASS,"Even distribution test"
F2,1000000,500000,5000,40,8,2500.000,.5,MODERATE,9,PASS,"Front-loaded fair test"
F3,10000000,100000,500,30,6,500.000,0,HIGH,7,PASS,"Long tail distribution"
F4,500000,1000000,50000,70,1,5000.000,10.0,LOW,7,PASS,"Minimum viable - 3 epochs"
F5,5000000,50000,100,25,4,250.000,0,HIGH,6,WARN,"Maximum spread - 20+ epochs"
G1,5000,500000,4999,50,1,2500.000,100.0,MODERATE,1,FAIL,"99.98% in first epoch"
G2,100000,10000,99000,50,2,50.000,99.0,EXTREME,0,FAIL,"99% first epoch for $50"
G3,1000000,10000,500000,50,2,50.000,50.0,EXTREME,1,FAIL,"50% for $50 - extreme bot bait"
G4,100,10000000,10,50,1,50000.000,10.1,LOW,7,PASS,"Tiny supply, huge valuation"
G5,100000000,100000,1000,50,10,500.000,0,HIGH,7,PASS,"Huge supply, low valuation"
H1,100000,1000000,10000,50,1,5000.000,10.0,LOW,7,PASS,"10% first epoch at $5k"
H2,500000,1000000,50000,50,1,5000.000,10.0,LOW,7,PASS,"10% first epoch at $5k"
H3,1000000,1000000,100000,50,1,5000.000,10.0,LOW,7,PASS,"10% first epoch at $5k"
H4,100000,200000,20000,50,1,1000.000,20.0,MODERATE,6,WARN,"20% first epoch at $1k"
H5,100000,100000,30000,50,1,500.000,30.0,HIGH,3,FAIL,"30% first epoch at $500"
